"Freq [GHz]","AbsorbanceTE []"
30,0.00841511194280575
30.1,0.00926011860662512
30.2,0.0102215238791054
30.3,0.0113191773804243
30.4,0.0125764582289979
30.5,0.0140207275164341
30.6,0.0156836490727605
30.7,0.0176011868285456
30.8,0.0198129434649037
30.9,0.0223602835598296
31,0.0252823717858421
31.1,0.0286088829004785
31.2,0.0323478567698201
31.3,0.036467390266457
31.4,0.0408714037060183
31.5,0.0453737384858481
31.6,0.0496818266773662
31.7,0.0534084810246496
31.8,0.0561296831103811
31.9,0.0574872171058509
32,0.0573002227660211
32.1,0.0556271793499339
32.2,0.0527408686370141
32.3,0.0490332679298693
32.4,0.0449054528283757
32.5,0.040690133903686
32.6,0.03662111210029
32.7,0.0328379274472764
32.8,0.0294069958245385
32.9,0.0263454057473074
33,0.0236407113195235
33.1,0.0212650258594739
33.2,0.0191840661904243
33.3,0.0173624768194077
33.4,0.0157666860768219
33.5,0.0143662401273343
33.6,0.0131342546575551
33.7,0.0120473882066794
33.8,0.0110855796000965
33.9,0.0102316886085031
34,0.00947111578175119
34.1,0.00879144013523914
34.2,0.00818209209729204
34.3,0.00763406744256245
34.4,0.00713968185175018
34.5,0.00669236284141095
34.6,0.00628647467310728
34.7,0.00591717165102257
34.8,0.00558027547812545
34.9,0.00527217280208303
35,0.00498972960146171
35.1,0.00473021956842379
35.2,0.0044912641039867
35.3,0.00427078194278785
35.4,0.0040669467664799
35.5,0.00387815145133619
35.6,0.00370297783425155
35.7,0.0035401710776366
35.8,0.00338861787555622
35.9,0.00324732787598037
36,0.00311541780250035
36.1,0.00299209784796073
36.2,0.00287665998525499
36.3,0.00276846790055452
36.4,0.00266694830308134
36.5,0.00257158340620978
36.6,0.00248190440810303
36.7,0.0023974858273168
36.8,0.00231794057201939
36.9,0.00224291564014945
37,0.00217208836364935
37.1,0.0021051631231277
37.2,0.00204186847025867
37.3,0.00198195460419626
37.4,0.00192519115646372
37.5,0.00187136524469711
37.6,0.00182027976174115
37.7,0.00177175187053624
37.8,0.001725611679811
37.9,0.00168170107842702
38,0.00163987270937593
38.1,0.00159998906664183
38.2,0.00156192170039049
38.3,0.001525550517536
38.4,0.00149076316635077
38.5,0.0014574544951651
38.6,0.00142552607611202
38.7,0.00139488578605995
38.8,0.00136544743762501
38.9,0.00133713045388451
39,0.00130985958102947
39.1,0.00128356463369694
39.2,0.00125818026866165
39.3,0.00123364578195861
39.4,0.0012099049262162
39.5,0.00118690574408242
39.6,0.0011646004148792
39.7,0.00114294511107138
39.8,0.00112189986219091
39.9,0.001101428423263
40,0.00108149814555469
40.1,0.00106207984741513
40.2,0.00104314768316427
40.3,0.00102467900822389
40.4,0.00100665423860136
40.5,0.000989056703487701
40.6,0.000971872489355596
40.7,0.00095509027448315
40.8,0.000938701152710109
40.9,0.000922698445972481
41,0.000907077504502807
41.1,0.000891835494876481
41.2,0.000876971175247543
41.3,0.000862484658474605
41.4,0.000848377163255809
41.5,0.000834650754316324
41.6,0.000821308072840421
41.7,0.000808352058777384
41.8,0.000795785667206172
41.9,0.000783611581167687
42,0.00077183192426189
42.1,0.000760447976388967
42.2,0.000749459896716265
42.3,0.000738866458606657
42.4,0.00072866480120215
42.5,0.000718850203423993
42.6,0.000709415885523201
42.7,0.000700352844664964
42.8,0.000691649729901544
42.9,0.000683292762534204
43,0.000675265707161476
43.1,0.000667549898092035
43.2,0.000660124325344791
43.3,0.000652965782745651
43.4,0.000646049079665811
43.5,0.000639347316438998
43.6,0.000632832221122981
43.7,0.000626474543935607
43.8,0.000620244503035994
43.9,0.000614112273559675
44,0.000608048509705306
44.1,0.000602024887692898
44.2,0.000596014656091159
44.3,0.000589993178710335
44.4,0.000583938454654764
44.5,0.000577831600138246
44.6,0.000571657277126603
44.7,0.000565404054768681
44.8,0.000559064692228661
44.9,0.000552636332406209
45,0.000546120600329436
45.1,0.00053952360170606
45.2,0.000532855821477551
45.3,0.000526131924476592
45.4,0.000519370464355351
45.5,0.000512593508799508
45.6,0.000505826192441772
45.7,0.000499096210023309
45.8,0.000492433263963532
45.9,0.00048586848157306
46,0.000479433816682584
46.1,0.000473161450358806
46.2,0.000467083204905294
46.3,0.000461229983037881
46.4,0.000455631243786558
46.5,0.000450314523634421
46.6,0.00044530501053075
46.7,0.000440625175714415
46.8,0.000436294466848342
46.9,0.000432329064064096
47,0.000428741698707324
47.1,0.000425541533832341
47.2,0.000422734103378342
47.3,0.000420321306960569
47.4,0.000418301455773484
47.5,0.000416669365142286
47.6,0.000415416488515841
47.7,0.000414531087717052
47.8,0.000413998434448781
47.9,0.000413801037699502
48,0.000413918892250953
48.1,0.000414329743832931
48.2,0.000415009366242614
48.3,0.000415931846590611
48.4,0.000417069875167764
48.5,0.000418395036441033
48.6,0.000419878098195103
48.7,0.000421489296393629
48.8,0.000423198613343279
48.9,0.00042497604715741
49,0.000426791870740018
49.1,0.000428616878948795
49.2,0.000430422622474724
49.3,0.000432181627448625
49.4,0.000433867600039717
49.5,0.000435455614914204
49.6,0.000436922287576413
49.7,0.000438245929422321
49.8,0.000439406685829757
49.9,0.00044038665649071
50,0.000441169998316115
50.1,0.00044174301048483
50.2,0.000442094201944743
50.3,0.000442214341140335
50.4,0.000442096488558974
50.5,0.000441736011930316
50.6,0.000441130584702853
50.7,0.000440280167819496
50.8,0.000439186975683792
50.9,0.000437855426358325
51,0.000436292076795741
51.1,0.000434505543744579
51.2,0.000432506410789291
51.3,0.000430307122524898
51.4,0.00042792186643914
51.5,0.000425366443584152
51.6,0.000422658128561237
51.7,0.000419815520252609
51.8,0.000416858384120977
51.9,0.000413807486884687
52,0.000410684425187435
52.1,0.000407511449057818
52.2,0.000404311281430481
52.3,0.000401106935257411
52.4,0.000397921529081691
52.5,0.000394778102742688
52.6,0.000391699434390325
52.7,0.00038870786037859
52.8,0.000385825099187387
52.9,0.000383072081006075
53,0.000380468784419441
53.1,0.000378034081591649
53.2,0.000375785593221933
53.3,0.000373739555168506
53.4,0.000371910697725131
53.5,0.000370312139195028
53.6,0.000368955295167894
53.7,0.000367849804794651
53.8,0.000367003475494787
53.9,0.000366422247322418
54,0.000366110178362633
54.1,0.000366069452193085
54.2,0.000366300408978226
54.3,0.000366801600768296
54.4,0.000367569872656293
54.5,0.000368600470429858
54.6,0.000369887175839301
54.7,0.000371422470578753
54.8,0.000373197729687247
54.9,0.00037520344541353
55,0.000377429482548042
55.1,0.000379865366114118
55.2,0.000382500602628344
55.3,0.000385325036038831
55.4,0.000388329240069596
55.5,0.000391504948502264
55.6,0.000394845526169529
55.7,0.000398346483220346
55.8,0.000402006037053315
55.9,0.000405825726858877
56,0.000409811088171064
56.1,0.000413972396578255
56.2,0.000418325493379834
56.3,0.000422892710564726
56.4,0.000427703918171596
56.5,0.000432797725629208
56.6,0.000438222880891903
56.7,0.000444039926203343
56.8,0.000450323193531554
56.9,0.000457163254576343
57,0.000464669987047528
57.1,0.000472976488002153
57.2,0.000482244165526002
57.3,0.000492669492552555
57.4,0.000504493139233175
57.5,0.000518012562381487
57.6,0.000533599708874455
57.7,0.000551726431388899
57.8,0.000573001793908623
57.9,0.000598228169515602
58,0.000628487899074659
58.1,0.000665281307641985
58.2,0.000710754381139211
58.3,0.000768090114280806
58.4,0.000842214862770696
58.5,0.000941150734603546
58.6,0.0010788000656804
58.7,0.00128122902948102
58.8,0.00160264646572961
58.9,0.00217320585085978
59,0.00337999053291227
59.1,0.00686580402953896
59.2,0.0262947763497682
59.3,0.041747266996589
59.4,0.005475118157373
59.5,0.00164287005098729
59.6,0.000737151057009999
59.7,0.000424690095913505
59.8,0.000295673946711039
59.9,0.000239736060976381
60,0.00022083787368099
60.1,0.000137029153856494
60.2,0.00012569804398177
60.3,0.000146681948908434
60.4,0.000185227853661707
60.5,0.000238257893072524
60.6,0.00031181428288396
60.7,0.00042744371494241
60.8,0.00065415918002909
60.9,0.00129610667203517
61,0.00543916240673958
61.1,0.0276392139428538
61.2,0.00172778455503686
61.3,0.00059645223421434
61.4,0.000345805923476772
61.5,0.000251955419483751
61.6,0.000199787943217178
61.7,0.000207362247237719
61.8,0.000562880362932505
61.9,0.000296747677961395
62,0.000255138502161967
62.1,0.000238185661331936
62.2,0.000229153115911651
62.3,0.000223949190890638
62.4,0.000221244759596506
62.5,0.000220780215143823
62.6,0.000223112121290669
62.7,0.000230081499239976
62.8,0.000246617468952048
62.9,0.000286966146110901
63,0.000398360565014189
63.1,0.000724262770825157
63.2,0.00105777420351327
63.3,0.000740790721321716
63.4,0.000511302232615529
63.5,0.000410082444978421
63.6,0.000361261520835932
63.7,0.000335308400478684
63.8,0.000320795602506085
63.9,0.000312729760909569
64,0.000308678534508999
64.1,0.000307356167017936
64.2,0.000308046319747013
64.3,0.000310343879212249
64.4,0.000314031803648085
64.5,0.000319021240205997
64.6,0.000325324993629805
64.7,0.000333051912387194
64.8,0.000342418381503173
64.9,0.000353778946231564
65,0.000367684448405514
65.1,0.000384986383420438
65.2,0.000407026895388962
65.3,0.000436000478182375
65.4,0.000475689108654698
65.5,0.000533091308249523
65.6,0.000622467634061374
65.7,0.000777071978706245
65.8,0.00109173903908544
65.9,0.00194505233365172
66,0.00640524521789643
66.1,0.05553442010214
66.2,0.00277064539726268
66.3,0.000766067685378236
66.4,0.000387863057653259
66.5,0.000269272057950798
66.6,0.000235963531878047
66.7,0.000349164278827696
66.8,0.00499499363242784
66.9,0.00132162298761618
67,0.000580954980190396
67.1,0.000432562872465847
67.2,0.00037621437656532
67.3,0.000348734985672672
67.4,0.000333606000203379
67.5,0.000324774322113197
67.6,0.000319536189615888
67.7,0.0003165159678441
67.8,0.000314946554546558
67.9,0.000314370264252517
68,0.000314499577637295
68.1,0.000315146456544291
68.2,0.000316183933707359
68.3,0.00031752406165142
68.4,0.000319104668877079
68.5,0.000320881101025794
68.6,0.000322820905034549
68.7,0.000324900314321863
68.8,0.000327101871243851
68.9,0.000329412787359651
69,0.0003318237938853
69.1,0.00033432832526592
69.2,0.000336921933284717
69.3,0.000339601863961203
69.4,0.000342366751235557
69.5,0.000345216396294368
69.6,0.000348151610913394
69.7,0.000351174109648689
69.8,0.000354286440873097
69.9,0.000357491949476429
70,0.000360794767082173
70.1,0.000364199827069478
70.2,0.000367712904193795
70.3,0.000371340678985366
70.4,0.00037509082973286
70.5,0.00037897215567495
70.6,0.000382994737079367
70.7,0.000387170140170867
70.8,0.000391511677655276
70.9,0.000396034738846307
71,0.000400757208698255
71.1,0.0004057000013995
71.2,0.000410887742807953
71.3,0.000416349649364323
71.4,0.000422120668448822
71.5,0.000428242971297288
71.6,0.000434767927674273
71.7,0.000441758748104704
71.8,0.00044929406559624
71.9,0.00045747286262432
72,0.000466421360011959
72.1,0.000476302828082309
72.2,0.000487331850788864
72.3,0.00049979555488433
72.4,0.000514086053857721
72.5,0.000530751561133136
72.6,0.000550579791361749
72.7,0.000574739739397701
72.8,0.00060503467791273
72.9,0.000644380742411244
73,0.00069777943179683
73.1,0.000774480019055446
73.2,0.000893385313122108
73.3,0.00109890106757238
73.4,0.00151955221244748
73.5,0.00268468176153469
73.6,0.00926715738372352
73.7,0.0455925130677514
73.8,0.00280113612619282
73.9,0.000889074008723623
74,0.0005260484662305
74.1,0.000434590402593638
74.2,0.000456360581538973
74.3,0.000665537997970311
74.4,0.00190918619520697
74.5,0.0109168397004665
74.6,0.00341421521396068
74.7,0.00153482406006167
74.8,0.00106270391331986
74.9,0.000881899937136832
75,0.000794958224737963
75.1,0.000745733282470851
75.2,0.000724056325941969
75.3,0.000724029721405728
75.4,0.000788601495771424
75.5,0.0019212424240953
75.6,0.000825138477878684
75.7,0.000733944619561888
75.8,0.000715869994937335
75.9,0.000711132680544679
76,0.000711453483814739
76.1,0.000714841286969969
76.2,0.000720735785619597
76.3,0.000729008179986335
76.4,0.000739669844250446
76.5,0.000752767003487476
76.6,0.000768337649356354
76.7,0.00078639346473719
76.8,0.00080691341363015
76.9,0.000829843505848471
77,0.000855100215495952
77.1,0.000882576288617543
77.2,0.00091214826813435
77.3,0.000943685372071013
77.4,0.000977059540630654
77.5,0.00101215658889908
77.6,0.0010488884960772
77.7,0.00108720695151499
77.8,0.00112711837444801
77.9,0.00116870073871034
78,0.00121212268287552
78.1,0.00125766558435159
78.2,0.00130574954792306
78.3,0.00135696464280355
78.4,0.00141210926833313
78.5,0.00147223832311416
78.6,0.00153872502470653
78.7,0.00161334198839191
78.8,0.00169836986952587
78.9,0.00179674608706359
79,0.00191227287427176
79.1,0.00204991493226658
79.2,0.00221623554487438
79.3,0.00242005235307019
79.4,0.00267345234271643
79.5,0.00299341544386522
79.6,0.00340451331717917
79.7,0.0039436050607643
79.8,0.00466847447603902
79.9,0.00567485564835035
80,0.00713307888679648
80.1,0.0093763679273372
80.2,0.0131450360697483
80.3,0.0203347021460374
80.4,0.0349664306208926
80.5,0.049078968695587
80.6,0.0706321665205506
80.7,0.170860909346752
80.8,0.453091590801709
80.9,0.202773208749292
81,0.0691732499104496
81.1,0.0321779901639642
81.2,0.0181840000379455
81.3,0.0116039252687696
81.4,0.00805025632709699
81.5,0.00594523052231999
81.6,0.00461534360164495
81.7,0.00373516572445853
81.8,0.00313216419631135
81.9,0.00270833724122321
82,0.00240560229480113
82.1,0.00218976879472466
82.2,0.0020436112633182
82.3,0.00196556714785578
82.4,0.00197356049314734
82.5,0.0021159289994539
82.6,0.0026466615090035
82.7,0.00321745540083485
82.8,0.00426886186721287
82.9,0.00738896246928822
83,0.0261762697634145
83.1,0.0502913746401206
83.2,0.00492600353599504
83.3,0.00144013565323098
83.4,0.000763422349531861
83.5,0.000674996357849178
83.6,0.000748467406602504
83.7,0.00110365664150258
83.8,0.00201808067887088
83.9,0.00512671776803786
84,0.0144791273234363
84.1,0.0197951418592386
84.2,0.00917009695975679
84.3,0.00487453017788664
84.4,0.00317978641899341
84.5,0.0023483535790052
84.6,0.00186503902891377
84.7,0.00154466203429759
84.8,0.00136977225500345
84.9,0.00201194438929475
85,0.00130290753268147
85.1,0.00108393885951819
85.2,0.00817577274319725
85.3,0.00291867871733276
85.4,0.00187404344294606
85.5,0.00167556153733328
85.6,0.00162001314316451
85.7,0.00160903896407505
85.8,0.00202761715073585
85.9,0.00410726873622735
86,0.0047717822451615
86.1,0.00109394441166655
86.2,0.00172303101829296
86.3,0.000643093138968043
86.4,0.000616779806713041
86.5,0.000761958046479272
86.6,0.000896142142552292
86.7,0.00128610331116774
86.8,0.00152555809773247
86.9,0.00138684309260195
87,0.00143031299746488
87.1,0.00149517806043353
87.2,0.00156876508266257
87.3,0.00165447790075479
87.4,0.00176664293175299
87.5,0.00194403350414141
87.6,0.00230963038010412
87.7,0.00341134573405999
87.8,0.01037012885025
87.9,0.670419709520377
88,0.0119217999395194
88.1,0.00534550037582493
88.2,0.00398062086601902
88.3,0.00351989899464811
88.4,0.00335716495689997
88.5,0.00333337361640651
88.6,0.00339426265542653
88.7,0.00352119229818648
88.8,0.00371382663256803
88.9,0.00399641557937158
89,0.00524233174045308
89.1,0.00474387382338415
89.2,0.00550252110644833
89.3,0.00685407551649986
89.4,0.010098993029264
89.5,0.0261294030253797
89.6,0.0542785950028636
89.7,0.00367738199975198
89.8,0.00250806218453326
89.9,0.00269581601647051
90,0.00305499225360295
